,min,max,mean,std,median,majority,minority,variace
Jan,0.0,13810.490234375,0.30010589985201536,5.117946304746312,0.10000000149011612,0.0,62.150001525878906,26.19337437826643
Fev,0.0,17447.560546875,0.399568394567767,6.305679910951672,0.20999999344348907,0.0,52.279998779296875,39.761599139379484
Mar,0.0,6795.4501953125,0.4309137934865394,3.100759628578927,0.23999999463558197,0.0,56.97999954223633,9.614710274224928
Abr,0.0,49517.8515625,0.40690954936429624,8.131558272635191,0.2199999988079071,0.20000000298023224,42.209999084472656,66.12223994126181
Mai,0.0,10093.75,0.34508385098465244,3.7484933690003013,0.14000000059604645,0.11999999731779099,57.349998474121094,14.051202537439227
Jun,0.0,3111.85009765625,0.3123277707937018,2.823545707700587,0.10999999940395355,0.09000000357627869,63.189998626708984,7.972410363474411
Jul,0.0,7023.7001953125,0.3205316951121026,3.2229745417484903,0.10999999940395355,0.09000000357627869,53.13999938964844,10.38756489675889
Ago,0.0,5535.9501953125,0.3525944129057422,3.2078816428938173,0.12999999523162842,0.10000000149011612,59.7599983215332,10.290504634815136
Set,0.0,2834.93994140625,0.39960772032747643,2.412064582803755,0.20000000298023224,0.1899999976158142,58.52000045776367,5.818055551616253
Out,0.0,13453.2197265625,0.4319353467694393,7.18438306573124,0.2199999988079071,0.20999999344348907,57.66999816894531,51.61536003516582
Nov,0.0,5957.9501953125,0.3851093010544585,3.365101897398235,0.1899999976158142,0.17000000178813934,56.34000015258789,11.3239107798732
Dez,0.0,5229.7099609375,0.33325092667658696,2.961593977107295,0.12999999523162842,0.0,60.220001220703125,8.771038885238207
